ID,Summary,Severity,CVSS_Score,CVE_Aliases,CWE_IDs,Ecosystem,Package_Name,Version_Introduced,Version_Fixed,Published,Modified
GHSA-2238-xc5r-v9hj,@tinacms/graphql has a Path Traversal issue,MODERATE,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:L,CVE-2026-24125,CWE-22,npm,@tinacms/graphql,0,2.1.2,2026-03-12T17:50:28Z,2026-03-12T19:13:56Z
GHSA-228v-wc5r-j8m7,OliveTin Vulnerable to Unauthorized Action Output Disclosure via EventStream,HIGH,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N/E:X/CR:X/IR:X/AR:X/MAV:X/MAC:X/MAT:X/MPR:X/MUI:X/MVC:X/MVI:X/MVA:X/MSC:X/MSI:X/MSA:X/S:X/AU:X/R:X/V:X/RE:X/U:X,CVE-2026-32102,CWE-284; CWE-863,Go,github.com/OliveTin/OliveTin,0,3000.10.2,2026-03-12T14:20:16Z,2026-03-12T14:20:17Z
GHSA-22cc-p3c6-wpvm,h3 has a Server-Sent Events Injection via Unsanitized Newlines in Event Stream Fields,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:C/C:L/I:H/A:N,CVE-2026-33128,CWE-93,npm,h3,2.0.0,2.0.1-rc.15,2026-03-18T16:17:43Z,2026-03-20T21:27:39Z
GHSA-22m3-c7vp-49fj,IRRd: web UI host header injection allows password reset poisoning via attacker-controlled email links,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,CVE-2026-28681,CWE-601; CWE-640,PyPI,irrd,4.4.0,4.4.5,2026-03-04T20:33:21Z,2026-03-06T15:16:30Z
GHSA-234q-vvw3-mrfq,Craft CMS has unauthenticated activation email trigger with potential user enumeration,HIGH,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:L/VI:H/VA:N/SC:N/SI:N/SA:N/E:P,CVE-2026-29069,CWE-287; CWE-639,Packagist,craftcms/cms,5.0.0-RC1,5.9.0-beta.2,2026-03-04T20:52:31Z,2026-03-04T20:52:32Z
GHSA-247v-7cw6-q57v,OpenSTAManager affected by unauthenticated privilege escalation via modules/utenti/actions.php,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CVE-2026-27012,CWE-306,Packagist,devcode-it/openstamanager,0,,2026-03-03T17:43:49Z,2026-03-03T17:43:49Z
GHSA-25g8-2mcf-fcx9,changedetection.io has Zip Slip vulnerability in the backup restore functionality,HIGH,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:N/SC:N/SI:N/SA:N/E:P,CVE-2026-29065,CWE-22,PyPI,changedetection.io,0,0.54.4,2026-03-04T21:28:42Z,2026-03-06T21:57:22Z
GHSA-25gx-x37c-7pph,OpenClaw's andbox browser noVNC observer lacked VNC authentication,MODERATE,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:L/VI:L/VA:N/SC:N/SI:N/SA:N,,CWE-287; CWE-862,npm,openclaw,0,2026.2.21,2026-03-03T19:17:48Z,2026-03-03T19:17:48Z
GHSA-25h7-pfq9-p65f,flatted vulnerable to unbounded recursion DoS in parse() revive phase,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CVE-2026-32141,CWE-674,npm,flatted,0,3.4.0,2026-03-13T15:40:42Z,2026-03-13T15:40:42Z
GHSA-25pw-4h6w-qwvm,OpenClaw has a BlueBubbles group allowlist mismatch via DM pairing-store fallback,MODERATE,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N,CVE-2026-32006,CWE-863,npm,openclaw,0,2026.2.26,2026-03-03T22:54:46Z,2026-03-19T22:18:38Z
