ID,Summary,Severity,CVSS_Score,CVE_Aliases,CWE_IDs,Ecosystem,Package_Name,Version_Introduced,Version_Fixed,Published,Modified
GHSA-2286-hxv5-cmp2,Sliver Vulnerable to Website Path Traversal / Arbitrary File Read (Authenticated),MODERATE,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,CVE-2026-25760,CWE-22,Go,github.com/bishopfox/sliver,0,1.6.11,2026-02-05T21:57:14Z,2026-02-07T00:32:08Z
GHSA-23c5-xmqv-rm74,minimatch ReDoS: nested *() extglobs generate catastrophically backtracking regular expressions,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CVE-2026-27904,CWE-1333,npm,minimatch,10.0.0,10.2.3,2026-02-26T22:07:15Z,2026-02-26T22:07:15Z
GHSA-243v-98vx-264h,Wasmtime can panic when adding excessive fields to a `wasi:http/types.fields` instance,MODERATE,CVSS:4.0/AV:N/AC:L/AT:P/PR:L/UI:P/VC:N/VI:N/VA:H/SC:N/SI:N/SA:H,CVE-2026-27572,CWE-770,crates.io,wasmtime,0,24.0.6,2026-02-24T21:08:06Z,2026-02-27T20:25:44Z
GHSA-2453-mppf-46cj,Craft CMS Vulnerable to SQL Injection in Element Indexes via `criteria[orderBy]`,HIGH,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,CVE-2026-25495,CWE-89,Packagist,craftcms/cms,5.0.0-RC1,5.8.22,2026-02-09T20:35:41Z,2026-02-09T22:38:37Z
GHSA-24p2-j2jr-386w,"psd-tools: Compression module has unguarded zlib decompression, missing dimension validation, and hardening gaps",MODERATE,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:H/VA:H/SC:N/SI:N/SA:N/E:U,CVE-2026-27809,CWE-190; CWE-409; CWE-617; CWE-704; CWE-755; CWE-789,PyPI,psd-tools,0,1.12.2,2026-02-26T15:20:51Z,2026-02-26T15:20:51Z
GHSA-25fp-8w8p-mx36,OpenSTAManager has an OS Command Injection in P7M File Processing,CRITICAL,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H,CVE-2025-69212,CWE-78,Packagist,devcode-it/openstamanager,0,,2026-02-06T17:59:37Z,2026-02-06T22:11:47Z
GHSA-25fq-6qgg-qpj8,SCEditor has DOM XSS via emoticon URL/HTML injection,MODERATE,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,CVE-2026-25581,CWE-79,npm,sceditor,0,3.2.1,2026-02-06T18:34:30Z,2026-02-06T21:43:37Z
GHSA-26gq-grmh-6xm6,Gogs vulnerable to Stored XSS via Mermaid diagrams,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:N,,CWE-1395; CWE-79,Go,gogs.io/gogs,0,0.13.4,2026-02-06T19:44:14Z,2026-02-06T19:44:14Z
GHSA-273h-m46v-96q4,ImageMagick: Integer Overflow in PSB (PSD v2) RLE decoding path causes heap Out of Bounds reads for 32-bit builds,LOW,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,CVE-2026-25984,CWE-125; CWE-190,NuGet,Magick.NET-Q16-AnyCPU,0,14.10.3,2026-02-25T15:20:15Z,2026-02-25T15:20:16Z
GHSA-27jc-jmp8-qfw5,Duplicate Advisory: Keylime Missing Authentication for Critical Function and Improper Authentication,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:H/A:H,,CWE-322,PyPI,keylime,7.12.0,7.12.2,2026-02-06T21:30:49Z,2026-02-09T12:30:21Z
GHSA-27jp-wm6q-gp25,sqlparse: formatting list of tuples leads to denial of service,MODERATE,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N,,CWE-770,PyPI,sqlparse,0,0.5.4,2026-02-13T16:16:11Z,2026-02-13T16:16:11Z
GHSA-282g-fhmx-xf54,ZITADEL Users Can Self-Verify Email/Phone via UpdateHumanUser API,HIGH,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:A/VC:N/VI:H/VA:N/SC:N/SI:H/SA:N,CVE-2026-27946,CWE-862,Go,github.com/zitadel/zitadel,4.0.0,4.11.1,2026-02-27T21:26:46Z,2026-02-27T21:26:46Z
GHSA-299v-8pq9-5gjq,New API has Potential XSS in its MarkdownRenderer component,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:N/I:H/A:L,CVE-2026-25802,CWE-79,Go,github.com/QuantumNous/new-api,0,0.10.8-alpha.9,2026-02-23T22:10:25Z,2026-02-27T21:41:05Z
GHSA-29vq-49wr-vm6x, Werkzeug safe_join() allows Windows special device names,MODERATE,CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:N/VI:N/VA:L/SC:N/SI:N/SA:N,CVE-2026-27199,CWE-67,PyPI,werkzeug,0,3.1.6,2026-02-19T20:32:45Z,2026-02-23T22:27:37Z
GHSA-2c4m-g7rx-63q7,set-in Affected by Prototype Pollution,CRITICAL,CVSS:4.0/AV:L/AC:L/AT:N/PR:N/UI:N/VC:H/VI:H/VA:H/SC:H/SI:H/SA:H,CVE-2026-26021,CWE-1321,npm,set-in,2.0.1,2.0.5,2026-02-11T15:13:28Z,2026-02-12T14:19:12Z
GHSA-2c6v-8r3v-gh6p,Gogs has a Protected Branch Deletion Bypass in Web Interface,HIGH,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,CVE-2026-25232,CWE-863,Go,gogs.io/gogs,0,0.14.1,2026-02-17T18:43:00Z,2026-02-19T21:14:56Z
GHSA-2f2x-8mwp-p2gc,webtransport-go: Memory Exhaustion Attack due to Missing Cleanup of Streams Map,MODERATE,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,CVE-2026-21438,CWE-401; CWE-459,Go,github.com/quic-go/webtransport-go,0,0.10.0,2026-02-12T15:29:11Z,2026-02-12T22:07:42Z
